dex,speciesName,speciesId,baseStats,types,fastMoves,chargedMoves,tags,defaultIVs,level25CP,buddyDistance,thirdMoveCost,released,family,eliteMoves,searchPriority,nicknames,legacyMoves,levelFloor,aliasId
5,Charmeleon (Shadow),charmeleon_shadow,"{'atk': 158, 'def': 126, 'hp': 151}","['fire', 'none']","['EMBER', 'FIRE_FANG', 'SCRATCH']","['FIRE_PUNCH', 'FLAME_BURST', 'FLAMETHROWER']","['starter', 'shadow']","{'cp500': [11.5, 6, 15, 6], 'cp1500': [39, 4, 13, 11], 'cp2500': [50, 15, 15, 15]}",,3.0,10000.0,True,"{'id': 'FAMILY_CHARMANDER', 'parent': 'charmander_shadow', 'evolutions': ['charizard_shadow']}",['SCRATCH'],,,,,
6,Charizard,charizard,"{'atk': 223, 'def': 173, 'hp': 186}","['fire', 'flying']","['AIR_SLASH', 'EMBER', 'FIRE_SPIN', 'WING_ATTACK', 'DRAGON_BREATH']","['BLAST_BURN', 'DRAGON_CLAW', 'FIRE_BLAST', 'FLAMETHROWER', 'OVERHEAT']","['starter', 'shadoweligible']","{'cp500': [6.5, 5, 14, 14], 'cp1500': [19, 4, 13, 15], 'cp2500': [34, 5, 11, 14]}",1784.0,3.0,10000.0,True,"{'id': 'FAMILY_CHARMANDER', 'parent': 'charmeleon'}","['EMBER', 'WING_ATTACK', 'BLAST_BURN', 'FLAMETHROWER', 'DRAGON_BREATH']",10.0,['zard'],,,
6,Charizard (Mega X),charizard_mega_x,"{'atk': 273, 'def': 213, 'hp': 186}","['fire', 'dragon']","['AIR_SLASH', 'EMBER', 'FIRE_SPIN', 'WING_ATTACK', 'DRAGON_BREATH']","['BLAST_BURN', 'DRAGON_CLAW', 'FIRE_BLAST', 'FLAMETHROWER', 'OVERHEAT']","['starter', 'shadoweligible', 'mega']","{'cp500': [5, 7, 15, 11], 'cp1500': [14.5, 5, 12, 7], 'cp2500': [23.5, 7, 15, 12]}",2424.0,3.0,10000.0,True,"{'id': 'FAMILY_CHARMANDER', 'parent': 'charmeleon'}","['EMBER', 'WING_ATTACK', 'BLAST_BURN', 'FLAMETHROWER', 'DRAGON_BREATH']",,['zardx'],,,
6,Charizard (Mega Y),charizard_mega_y,"{'atk': 319, 'def': 212, 'hp': 186}","['fire', 'flying']","['AIR_SLASH', 'EMBER', 'FIRE_SPIN', 'WING_ATTACK', 'DRAGON_BREATH']","['BLAST_BURN', 'DRAGON_CLAW', 'FIRE_BLAST', 'FLAMETHROWER', 'OVERHEAT']","['starter', 'shadoweligible', 'mega']","{'cp500': [4.5, 4, 7, 9], 'cp1500': [12, 6, 15, 15], 'cp2500': [20.5, 5, 9, 15]}",2826.0,3.0,10000.0,True,"{'id': 'FAMILY_CHARMANDER', 'parent': 'charmeleon'}","['EMBER', 'WING_ATTACK', 'BLAST_BURN', 'FLAMETHROWER', 'DRAGON_BREATH']",,['zardy'],,,
6,Charizard (Shadow),charizard_shadow,"{'atk': 223, 'def': 173, 'hp': 186}","['fire', 'flying']","['AIR_SLASH', 'EMBER', 'FIRE_SPIN', 'WING_ATTACK', 'DRAGON_BREATH']","['BLAST_BURN', 'DRAGON_CLAW', 'FIRE_BLAST', 'FLAMETHROWER', 'OVERHEAT']","['starter', 'shadow']","{'cp500': [6.5, 5, 14, 14], 'cp1500': [19, 4, 13, 15], 'cp2500': [34, 5, 11, 14]}",,3.0,10000.0,True,"{'id': 'FAMILY_CHARMANDER', 'parent': 'charmeleon_shadow'}","['EMBER', 'WING_ATTACK', 'BLAST_BURN', 'FLAMETHROWER', 'DRAGON_BREATH']",10.0,['zard'],,,
7,Squirtle,squirtle,"{'atk': 94, 'def': 121, 'hp': 127}","['water', 'none']","['BUBBLE', 'TACKLE']","['AQUA_JET', 'AQUA_TAIL', 'WATER_PULSE']","['starter', 'shadoweligible']","{'cp500': [20.5, 5, 13, 14], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",519.0,3.0,10000.0,True,"{'id': 'FAMILY_SQUIRTLE', 'evolutions': ['wartortle']}",,,,,,
7,Squirtle (Shadow),squirtle_shadow,"{'atk': 94, 'def': 121, 'hp': 127}","['water', 'none']","['BUBBLE', 'TACKLE']","['AQUA_JET', 'AQUA_TAIL', 'WATER_PULSE']","['starter', 'shadow']","{'cp500': [20.5, 5, 13, 14], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,3.0,10000.0,True,"{'id': 'FAMILY_SQUIRTLE', 'evolutions': ['wartortle_shadow']}",,,,,,
8,Wartortle,wartortle,"{'atk': 126, 'def': 155, 'hp': 153}","['water', 'none']","['BITE', 'WATER_GUN']","['AQUA_JET', 'HYDRO_PUMP', 'ICE_BEAM']","['starter', 'shadoweligible']","{'cp500': [13, 4, 13, 9], 'cp1500': [48, 4, 11, 15], 'cp2500': [50, 15, 15, 15], 'cp1500l40': [40, 15, 15, 15]}",865.0,3.0,10000.0,True,"{'id': 'FAMILY_SQUIRTLE', 'parent': 'squirtle', 'evolutions': ['blastoise']}",,,,,,
8,Wartortle (Shadow),wartortle_shadow,"{'atk': 126, 'def': 155, 'hp': 153}","['water', 'none']","['BITE', 'WATER_GUN']","['AQUA_JET', 'HYDRO_PUMP', 'ICE_BEAM']","['starter', 'shadow']","{'cp500': [13, 4, 13, 9], 'cp1500': [48, 4, 11, 15], 'cp2500': [50, 15, 15, 15], 'cp1500l40': [40, 15, 15, 15]}",,3.0,10000.0,True,"{'id': 'FAMILY_SQUIRTLE', 'parent': 'squirtle_shadow', 'evolutions': ['blastoise_shadow']}",,,,,,
9,Blastoise,blastoise,"{'atk': 171, 'def': 207, 'hp': 188}","['water', 'none']","['BITE', 'WATER_GUN']","['FLASH_CANNON', 'HYDRO_CANNON', 'HYDRO_PUMP', 'ICE_BEAM', 'SKULL_BASH']","['starter', 'shadoweligible']","{'cp500': [7.5, 8, 14, 14], 'cp1500': [22.5, 5, 15, 13], 'cp2500': [46, 5, 15, 12], 'cp2500l40': [40, 15, 15, 15]}",1504.0,3.0,10000.0,True,"{'id': 'FAMILY_SQUIRTLE', 'parent': 'wartortle'}",['HYDRO_CANNON'],,,,,
9,Blastoise (Mega),blastoise_mega,"{'atk': 264, 'def': 237, 'hp': 188}","['water', 'none']","['BITE', 'WATER_GUN']","['FLASH_CANNON', 'HYDRO_CANNON', 'HYDRO_PUMP', 'ICE_BEAM', 'SKULL_BASH']","['starter', 'shadoweligible', 'mega']","{'cp500': [5, 6, 9, 9], 'cp1500': [13.5, 12, 15, 14], 'cp2500': [23, 7, 11, 15]}",1000.0,3.0,10000.0,True,"{'id': 'FAMILY_SQUIRTLE', 'parent': 'wartortle'}",['HYDRO_CANNON'],,,,,
9,Blastoise (Shadow),blastoise_shadow,"{'atk': 171, 'def': 207, 'hp': 188}","['water', 'none']","['BITE', 'WATER_GUN']","['FLASH_CANNON', 'HYDRO_CANNON', 'HYDRO_PUMP', 'ICE_BEAM', 'SKULL_BASH']","['starter', 'shadow']","{'cp500': [7.5, 8, 14, 14], 'cp1500': [22.5, 5, 15, 13], 'cp2500': [46, 5, 15, 12], 'cp2500l40': [40, 15, 15, 15]}",,3.0,10000.0,True,"{'id': 'FAMILY_SQUIRTLE', 'parent': 'wartortle_shadow'}",['HYDRO_CANNON'],,,,,
10,Caterpie,caterpie,"{'atk': 55, 'def': 55, 'hp': 128}","['bug', 'none']","['BUG_BITE', 'TACKLE']",['STRUGGLE'],,"{'cp500': [50, 15, 15, 15], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_CATERPIE', 'evolutions': ['metapod']}",,,,,,
11,Metapod,metapod,"{'atk': 45, 'def': 80, 'hp': 137}","['bug', 'none']","['BUG_BITE', 'TACKLE']",['STRUGGLE'],,"{'cp500': [50, 15, 13, 13], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15], 'cp500l40': [40, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_CATERPIE', 'parent': 'caterpie', 'evolutions': ['butterfree']}",,,,,,
12,Butterfree,butterfree,"{'atk': 167, 'def': 137, 'hp': 155}","['bug', 'flying']","['BUG_BITE', 'CONFUSION', 'STRUGGLE_BUG']","['BUG_BUZZ', 'PSYCHIC', 'SIGNAL_BEAM']",,"{'cp500': [10.5, 4, 6, 14], 'cp1500': [31.5, 4, 14, 13], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_CATERPIE', 'parent': 'metapod'}",['BUG_BITE'],,,,,
13,Weedle,weedle,"{'atk': 63, 'def': 50, 'hp': 120}","['bug', 'poison']","['BUG_BITE', 'POISON_STING']",['STRUGGLE'],['shadoweligible'],"{'cp500': [50, 13, 15, 13], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15], 'cp500l40': [40, 15, 15, 15]}",217.0,1.0,10000.0,True,"{'id': 'FAMILY_WEEDLE', 'evolutions': ['kakuna']}",,,,,,
13,Weedle (Shadow),weedle_shadow,"{'atk': 63, 'def': 50, 'hp': 120}","['bug', 'poison']","['BUG_BITE', 'POISON_STING']",['STRUGGLE'],['shadow'],"{'cp500': [50, 13, 15, 13], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15], 'cp500l40': [40, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_WEEDLE', 'evolutions': ['kakuna_shadow']}",,,,,,
14,Kakuna,kakuna,"{'atk': 46, 'def': 75, 'hp': 128}","['bug', 'poison']","['BUG_BITE', 'POISON_STING']",['STRUGGLE'],['shadoweligible'],"{'cp500': [50, 15, 15, 15], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",201.0,1.0,10000.0,True,"{'id': 'FAMILY_WEEDLE', 'parent': 'weedle', 'evolutions': ['beedrill']}",,,,,,
14,Kakuna (Shadow),kakuna_shadow,"{'atk': 46, 'def': 75, 'hp': 128}","['bug', 'poison']","['BUG_BITE', 'POISON_STING']",['STRUGGLE'],['shadow'],"{'cp500': [50, 15, 15, 15], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_WEEDLE', 'parent': 'weedle_shadow', 'evolutions': ['beedrill_shadow']}",,,,,,
15,Beedrill,beedrill,"{'atk': 169, 'def': 130, 'hp': 163}","['bug', 'poison']","['BUG_BITE', 'INFESTATION', 'POISON_JAB']","['AERIAL_ACE', 'SLUDGE_BOMB', 'X_SCISSOR', 'FELL_STINGER', 'DRILL_RUN']",['shadoweligible'],"{'cp500': [10, 5, 15, 14], 'cp1500': [31, 4, 14, 12], 'cp2500': [50, 15, 15, 15]}",1097.0,1.0,10000.0,True,"{'id': 'FAMILY_WEEDLE', 'parent': 'kakuna'}","['BUG_BITE', 'DRILL_RUN']",4.0,,,,
15,Beedrill (Mega),beedrill_mega,"{'atk': 303, 'def': 148, 'hp': 163}","['bug', 'poison']","['BUG_BITE', 'INFESTATION', 'POISON_JAB']","['AERIAL_ACE', 'SLUDGE_BOMB', 'X_SCISSOR', 'FELL_STINGER', 'DRILL_RUN']","['shadoweligible', 'mega']","{'cp500': [5.5, 8, 15, 15], 'cp1500': [16, 5, 15, 14], 'cp2500': [27, 5, 15, 11]}",2099.0,1.0,10000.0,True,"{'id': 'FAMILY_WEEDLE', 'parent': 'kakuna'}","['BUG_BITE', 'DRILL_RUN']",,,,,
15,Beedrill (Shadow),beedrill_shadow,"{'atk': 169, 'def': 130, 'hp': 163}","['bug', 'poison']","['BUG_BITE', 'INFESTATION', 'POISON_JAB']","['AERIAL_ACE', 'SLUDGE_BOMB', 'X_SCISSOR', 'FELL_STINGER', 'DRILL_RUN']",['shadow'],"{'cp500': [10, 5, 15, 14], 'cp1500': [31, 4, 14, 12], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_WEEDLE', 'parent': 'kakuna_shadow'}","['BUG_BITE', 'DRILL_RUN']",4.0,,,,
16,Pidgey,pidgey,"{'atk': 85, 'def': 73, 'hp': 120}","['normal', 'flying']","['QUICK_ATTACK', 'TACKLE']","['AERIAL_ACE', 'AIR_CUTTER', 'TWISTER']",['shadoweligible'],"{'cp500': [29.5, 4, 14, 10], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",354.0,1.0,10000.0,True,"{'id': 'FAMILY_PIDGEY', 'evolutions': ['pidgeotto']}",,,,,,
16,Pidgey (Shadow),pidgey_shadow,"{'atk': 85, 'def': 73, 'hp': 120}","['normal', 'flying']","['QUICK_ATTACK', 'TACKLE']","['AERIAL_ACE', 'AIR_CUTTER', 'TWISTER']",['shadow'],"{'cp500': [29.5, 4, 14, 10], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_PIDGEY', 'evolutions': ['pidgeotto_shadow']}",,,,,,
17,Pidgeotto,pidgeotto,"{'atk': 117, 'def': 105, 'hp': 160}","['normal', 'flying']","['STEEL_WING', 'WING_ATTACK']","['AERIAL_ACE', 'AIR_CUTTER', 'TWISTER']",['shadoweligible'],"{'cp500': [16, 6, 11, 15], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",676.0,1.0,10000.0,True,"{'id': 'FAMILY_PIDGEY', 'parent': 'pidgey', 'evolutions': ['pidgeot']}",,,,,,
17,Pidgeotto (Shadow),pidgeotto_shadow,"{'atk': 117, 'def': 105, 'hp': 160}","['normal', 'flying']","['STEEL_WING', 'WING_ATTACK']","['AERIAL_ACE', 'AIR_CUTTER', 'TWISTER']",['shadow'],"{'cp500': [16, 6, 11, 15], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_PIDGEY', 'parent': 'pidgey_shadow', 'evolutions': ['pidgeot_shadow']}",,,,,,
18,Pidgeot,pidgeot,"{'atk': 166, 'def': 154, 'hp': 195}","['normal', 'flying']","['AIR_SLASH', 'STEEL_WING', 'WING_ATTACK', 'GUST']","['AERIAL_ACE', 'AIR_CUTTER', 'BRAVE_BIRD', 'HURRICANE', 'FEATHER_DANCE']",['shadoweligible'],"{'cp500': [9, 5, 11, 9], 'cp1500': [26, 6, 13, 15], 'cp2500': [50, 15, 15, 15]}",1283.0,1.0,10000.0,True,"{'id': 'FAMILY_PIDGEY', 'parent': 'pidgeotto'}","['WING_ATTACK', 'AIR_CUTTER', 'GUST']",2.0,,,,
18,Pidgeot (Mega),pidgeot_mega,"{'atk': 280, 'def': 175, 'hp': 195}","['normal', 'flying']","['AIR_SLASH', 'STEEL_WING', 'WING_ATTACK', 'GUST']","['AERIAL_ACE', 'AIR_CUTTER', 'BRAVE_BIRD', 'HURRICANE', 'FEATHER_DANCE']",['mega'],"{'cp500': [5, 13, 15, 12], 'cp1500': [15, 6, 12, 10], 'cp2500': [25, 5, 14, 9]}",,1.0,10000.0,True,"{'id': 'FAMILY_PIDGEY', 'parent': 'pidgeotto'}","['WING_ATTACK', 'AIR_CUTTER', 'GUST']",,,,,
18,Pidgeot (Shadow),pidgeot_shadow,"{'atk': 166, 'def': 154, 'hp': 195}","['normal', 'flying']","['AIR_SLASH', 'STEEL_WING', 'WING_ATTACK', 'GUST']","['AERIAL_ACE', 'AIR_CUTTER', 'BRAVE_BIRD', 'HURRICANE', 'FEATHER_DANCE']",['shadow'],"{'cp500': [9, 5, 11, 9], 'cp1500': [26, 6, 13, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_PIDGEY', 'parent': 'pidgeotto_shadow'}","['WING_ATTACK', 'AIR_CUTTER', 'GUST']",2.0,,,,
19,Rattata,rattata,"{'atk': 103, 'def': 70, 'hp': 102}","['normal', 'none']","['QUICK_ATTACK', 'TACKLE']","['BODY_SLAM', 'DIG', 'HYPER_FANG']",['shadoweligible'],"{'cp500': [26.5, 5, 15, 10], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",388.0,1.0,10000.0,True,"{'id': 'FAMILY_RATTATA', 'evolutions': ['raticate']}",,,,,,
19,Rattata (Alolan),rattata_alolan,"{'atk': 103, 'def': 70, 'hp': 102}","['dark', 'normal']","['QUICK_ATTACK', 'TACKLE']","['CRUNCH', 'HYPER_FANG', 'SHADOW_BALL']","['alolan', 'shadoweligible']","{'cp500': [26.5, 5, 15, 10], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",388.0,1.0,10000.0,True,"{'id': 'FAMILY_RATTATA', 'evolutions': ['raticate_alolan']}",,,,,,
19,Rattata (Shadow),rattata_shadow,"{'atk': 103, 'def': 70, 'hp': 102}","['normal', 'none']","['QUICK_ATTACK', 'TACKLE']","['BODY_SLAM', 'DIG', 'HYPER_FANG']",['shadow'],"{'cp500': [26.5, 5, 15, 10], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_RATTATA', 'evolutions': ['raticate_shadow']}",,,,,,
19,Rattata (Alolan) (Shadow),rattata_alolan_shadow,"{'atk': 103, 'def': 70, 'hp': 102}","['dark', 'normal']","['QUICK_ATTACK', 'TACKLE']","['CRUNCH', 'HYPER_FANG', 'SHADOW_BALL']","['alolan', 'shadow']","{'cp500': [26.5, 5, 15, 10], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_RATTATA', 'evolutions': ['raticate_alolan_shadow']}",,,,,,
20,Raticate,raticate,"{'atk': 161, 'def': 139, 'hp': 146}","['normal', 'none']","['BITE', 'QUICK_ATTACK']","['DIG', 'HYPER_BEAM', 'HYPER_FANG']",['shadoweligible'],"{'cp500': [11, 4, 10, 13], 'cp1500': [34.5, 5, 13, 15], 'cp2500': [50, 15, 15, 15]}",1023.0,1.0,10000.0,True,"{'id': 'FAMILY_RATTATA', 'parent': 'rattata_alolan'}",,,,,,
20,Raticate (Alolan),raticate_alolan,"{'atk': 135, 'def': 154, 'hp': 181}","['dark', 'normal']","['BITE', 'QUICK_ATTACK']","['CRUNCH', 'HYPER_BEAM', 'HYPER_FANG']","['alolan', 'shadoweligible']","{'cp500': [11, 7, 15, 9], 'cp1500': [37, 4, 15, 11], 'cp2500': [50, 15, 15, 15]}",1005.0,1.0,10000.0,True,"{'id': 'FAMILY_RATTATA', 'parent': 'rattata_alolan'}",,2.0,,,,
20,Raticate (Shadow),raticate_shadow,"{'atk': 161, 'def': 139, 'hp': 146}","['normal', 'none']","['BITE', 'QUICK_ATTACK']","['DIG', 'HYPER_BEAM', 'HYPER_FANG']",['shadow'],"{'cp500': [11, 4, 10, 13], 'cp1500': [34.5, 5, 13, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_RATTATA', 'parent': 'rattata_alolan_shadow'}",,,,,,
20,Raticate (Alolan) (Shadow),raticate_alolan_shadow,"{'atk': 135, 'def': 154, 'hp': 181}","['dark', 'normal']","['BITE', 'QUICK_ATTACK']","['CRUNCH', 'HYPER_BEAM', 'HYPER_FANG']","['alolan', 'shadow']","{'cp500': [11, 7, 15, 9], 'cp1500': [37, 4, 15, 11], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_RATTATA', 'parent': 'rattata_alolan_shadow'}",,2.0,,,,
21,Spearow,spearow,"{'atk': 112, 'def': 60, 'hp': 120}","['normal', 'flying']","['PECK', 'QUICK_ATTACK']","['AERIAL_ACE', 'DRILL_PECK', 'SKY_ATTACK', 'TWISTER']",,"{'cp500': [24, 6, 15, 11], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_SPEAROW', 'evolutions': ['fearow']}",['TWISTER'],,,,,
22,Fearow,fearow,"{'atk': 182, 'def': 133, 'hp': 163}","['normal', 'flying']","['PECK', 'STEEL_WING']","['AERIAL_ACE', 'DRILL_RUN', 'SKY_ATTACK', 'TWISTER', 'FLY']",,"{'cp500': [9.5, 5, 9, 13], 'cp1500': [28.5, 4, 11, 11], 'cp2500': [50, 15, 15, 15]}",,1.0,10000.0,True,"{'id': 'FAMILY_SPEAROW', 'parent': 'spearow'}",['TWISTER'],,,,,
23,Ekans,ekans,"{'atk': 110, 'def': 97, 'hp': 111}","['poison', 'none']","['ACID', 'POISON_STING']","['GUNK_SHOT', 'POISON_FANG', 'SLUDGE_BOMB', 'WRAP']",['shadoweligible'],"{'cp500': [20, 8, 15, 15], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",509.0,3.0,50000.0,True,"{'id': 'FAMILY_EKANS', 'evolutions': ['arbok']}",['GUNK_SHOT'],,,,,
23,Ekans (Shadow),ekans_shadow,"{'atk': 110, 'def': 97, 'hp': 111}","['poison', 'none']","['ACID', 'POISON_STING']","['GUNK_SHOT', 'POISON_FANG', 'SLUDGE_BOMB', 'WRAP']",['shadow'],"{'cp500': [20, 8, 15, 15], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,3.0,50000.0,True,"{'id': 'FAMILY_EKANS', 'evolutions': ['arbok_shadow']}",['GUNK_SHOT'],,,,,
24,Arbok,arbok,"{'atk': 167, 'def': 153, 'hp': 155}","['poison', 'none']","['ACID', 'BITE', 'DRAGON_TAIL']","['DARK_PULSE', 'GUNK_SHOT', 'SLUDGE_WAVE', 'ACID_SPRAY']",['shadoweligible'],"{'cp500': [10, 4, 10, 9], 'cp1500': [29, 5, 14, 14], 'cp2500': [50, 15, 15, 15]}",1147.0,3.0,50000.0,True,"{'id': 'FAMILY_EKANS', 'parent': 'ekans'}",,,,,,
24,Arbok (Shadow),arbok_shadow,"{'atk': 167, 'def': 153, 'hp': 155}","['poison', 'none']","['ACID', 'BITE', 'DRAGON_TAIL']","['DARK_PULSE', 'GUNK_SHOT', 'SLUDGE_WAVE', 'ACID_SPRAY']",['shadow'],"{'cp500': [10, 4, 10, 9], 'cp1500': [29, 5, 14, 14], 'cp2500': [50, 15, 15, 15]}",,3.0,50000.0,True,"{'id': 'FAMILY_EKANS', 'parent': 'ekans_shadow'}",,,,,,
